order_year,market,order_region,total_sales
2016,Africa,Eastern Africa,334752.55657291197
2016,Africa,Middle Africa,297293.20577591
2016,Africa,Northern Africa,563265.401145601
2016,Africa,Southern Africa,208783.00415626
2016,Africa,Western Africa,642528.592697403
2016,Europe,Asiatic Russia/European Russia,158390.65298797
2016,Europe,Eastern Europe,521005.9902718
2016,Europe,Northern Europe,18761.74039288
2016,Europe,Southern Europe,32624.46058711
2016,Europe,Western Europe,30540.50059729
2016,Pacific Asia,Australia/New Zealand,1128358.362672412
2016,Pacific Asia,Central Asia,97933.29200651
2016,Pacific Asia,Eastern Asia,590479.501702451
2016,Pacific Asia,Melanesia,3905.4900817899997
2016,Pacific Asia,Southeastern Asia,804918.015711801
2016,Pacific Asia,Southern Asia,810713.986098673
2016,Pacific Asia,Western Asia,1016097.050447583
2016,USCA,Northern America,5043465.520463669
